Table 1: Average Sales,Column Labels,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
Tsvi Michael Reiter,452.8294208,452.244952,447.0525307,447.6184716,448.86872,422.9916594,394.8628564,355.2195335,403.4887681,448.4692045,422.7283665
Southwest,449.4471771,449.9281547,450.1516751,446.4454265,448.9636164,420.5927284,397.0982285,359.2892697,401.9002409,450.818182,423.1070523
Linda C Mitchell,449.4187032,448.8043075,451.1997292,446.3377353,447.9565576,422.0597805,397.0946388,358.2545083,402.519316,450.6532492,423.1069942
Shu K Ito,449.4746408,451.0346168,449.0966474,446.5524557,449.9621636,419.1199184,397.1018546,360.328625,401.2879533,450.9879978,423.1071103
Pacific,449.361459,447.998991,451.438365,447.1580292,446.698335,419.80254,400.0457495,361.4843901,404.8121509,452.9663193,423.8723855
Australia,449.361459,447.998991,451.438365,447.1580292,446.698335,419.80254,400.0457495,361.4843901,404.8121509,452.9663193,423.8723855
Australia,449.361459,447.998991,451.438365,447.1580292,446.698335,419.80254,400.0457495,361.4843901,404.8121509,452.9663193,423.8723855
Lynn N Tsoflias,449.361459,447.998991,451.438365,447.1580292,446.698335,419.80254,400.0457495,361.4843901,404.8121509,452.9663193,423.8723855
Grand Total,448.6529687,448.6415392,449.1028958,447.9694929,448.6223084,420.7821362,396.8916489,357.7790267,403.8005294,448.9851522,422.8954972
,,,,,,,,,,,
,,,,,,,,,,,
Table 2: Average Quantity and sales volumes,Column Labels,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
Europe,3.499337913,3.492780906,3.496959792,3.500062159,3.495841756,3.501799764,3.499354201,3.497279592,3.49023403,3.496685643,3.497370524
France,3.506563246,3.493795464,3.499189589,3.503063262,3.494208104,3.503046716,3.499534181,3.492131078,3.487996552,3.465828788,3.496130904
France,3.506563246,3.493795464,3.499189589,3.503063262,3.494208104,3.503046716,3.499534181,3.492131078,3.487996552,3.465828788,3.496130904
Ranjit R Varkey Chudukatil,3.506563246,3.493795464,3.499189589,3.503063262,3.494208104,3.503046716,3.499534181,3.492131078,3.487996552,3.465828788,3.496130904
Germany,3.492859827,3.494387124,3.497998911,3.495601378,3.490186976,3.503452536,3.502106575,3.498314276,3.496956577,3.536,3.499762347
Germany,3.492859827,3.494387124,3.497998911,3.495601378,3.490186976,3.503452536,3.502106575,3.498314276,3.496956577,3.536,3.499762347
Rachel B Valdez,3.492859827,3.494387124,3.497998911,3.495601378,3.490186976,3.503452536,3.502106575,3.498314276,3.496956577,3.536,3.499762347
United Kingdom,3.49841345,3.490156487,3.493578704,3.501506417,3.503134313,3.498923744,3.496384578,3.5013489,3.485854583,3.487924267,3.49621236
United Kingdom,3.49841345,3.490156487,3.493578704,3.501506417,3.503134313,3.498923744,3.496384578,3.5013489,3.485854583,3.487924267,3.49621236
Jae B Pak,3.49841345,3.490156487,3.493578704,3.501506417,3.503134313,3.498923744,3.496384578,3.5013489,3.485854583,3.487924267,3.49621236
North America,3.502024724,3.500068936,3.498616855,3.499175652,3.500989916,3.498642111,3.500080695,3.500166391,3.499260097,3.497410306,3.499597768
Canada,3.50282261,3.495258925,3.49356643,3.496792529,3.496608746,3.497923036,3.498359648,3.499286092,3.500066423,3.491864257,3.497342162
Canada,3.50282261,3.495258925,3.49356643,3.496792529,3.496608746,3.497923036,3.498359648,3.499286092,3.500066423,3.491864257,3.497342162
Garrett R Vargas,3.513957551,3.495147989,3.490513077,3.502825092,3.491717555,3.49831509,3.494638772,3.499734884,3.498340888,3.483377789,3.496667114
José Edvaldo Saraiva,3.491998911,3.495370037,3.496643,3.49084518,3.501585133,3.497535016,3.502113365,3.49883288,3.501813548,3.500478785,3.498018794
United States,3.501774149,3.501522713,3.500182755,3.499903427,3.502336419,3.49886294,3.500612358,3.500434936,3.499012622,3.499117365,3.500290729
Central,3.517894305,3.490979215,3.499108142,3.485824051,3.509823391,3.497120555,3.502606768,3.504397951,3.493444788,3.491114054,3.498799345
Jillian  Carson,3.517894305,3.490979215,3.499108142,3.485824051,3.509823391,3.497120555,3.502606768,3.504397951,3.493444788,3.491114054,3.498799345
Northeast,3.500957693,3.494856611,3.493206758,3.509853984,3.49059935,3.493828266,3.497612528,3.502271057,3.500904126,3.474314214,3.496705972
Michael G Blythe,3.500957693,3.494856611,3.493206758,3.509853984,3.49059935,3.493828266,3.497612528,3.502271057,3.500904126,3.474314214,3.496705972
Northwest,3.498750553,3.505990861,3.499459668,3.501551979,3.500857812,3.500887617,3.504408489,3.494799851,3.497039006,3.502914815,3.500844986
David R Campbell,3.491892111,3.512791751,3.498756285,3.499653514,3.499391748,3.501664156,3.502827032,3.491365153,3.50127533,3.508330821,3.500987933
Pamela O Ansman-Wolfe,3.505497609,3.496035469,3.497320349,3.500463103,3.508229631,3.502634315,3.505985954,3.499738652,3.491117516,3.493127217,3.500541582
Tete A Mensa-Annan,3.498823529,3.508821806,3.502300091,3.504531328,3.494905839,3.498385868,3.504422205,3.493217334,3.498684066,3.507294537,3.501005613
Southeast,3.506179032,3.502721796,3.506958763,3.501782701,3.502395974,3.491485672,3.496933961,3.50789831,3.519973234,3.496541447,3.502488939
Tsvi Michael Reiter,3.506179032,3.502721796,3.506958763,3.501782701,3.502395974,3.491485672,3.496933961,3.50789831,3.519973234,3.496541447,3.502488939
Southwest,3.499774414,3.500372716,3.500449377,3.498800177,3.504521165,3.500624514,3.497968505,3.502520966,3.495279465,3.503085936,3.50012323
Linda C Mitchell,3.492486319,3.497682086,3.496777104,3.502626821,3.509255018,3.498612165,3.497221414,3.504430651,3.4953344,3.50709574,3.499967467
Shu K Ito,3.506832832,3.503025771,3.504153885,3.49500533,3.499839915,3.502647091,3.498723471,3.500604898,3.495225134,3.498966987,3.50027884
Pacific,3.522176845,3.497399722,3.512398066,3.495285924,3.502588138,3.496594916,3.488910318,3.502086753,3.506371814,3.487284966,3.499933006
Australia,3.522176845,3.497399722,3.512398066,3.495285924,3.502588138,3.496594916,3.488910318,3.502086753,3.506371814,3.487284966,3.499933006
Australia,3.522176845,3.497399722,3.512398066,3.495285924,3.502588138,3.496594916,3.488910318,3.502086753,3.506371814,3.487284966,3.499933006
Lynn N Tsoflias,3.522176845,3.497399722,3.512398066,3.495285924,3.502588138,3.496594916,3.488910318,3.502086753,3.506371814,3.487284966,3.499933006
Grand Total,3.502444281,3.499198379,3.498934834,3.499134301,3.500496782,3.498907219,3.499619896,3.499926561,3.498556848,3.496974844,3.499372645
,,,,,,,,,,,
,,,,,,,,,,,
Table 3: Avg Discounts,Column Labels,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
Europe,0,0,0,0,0,0.033447737,0.066156433,0.129306132,0.054849254,0,0.030691217
France,0,0,0,0,0,0.034054949,0.065457254,0.130410231,0.055921986,0,0.030620358
France,0,0,0,0,0,0.034054949,0.065457254,0.130410231,0.055921986,0,0.030620358
Ranjit R Varkey Chudukatil,0,0,0,0,0,0.034054949,0.065457254,0.130410231,0.055921986,0,0.030620358
Germany,0,0,0,0,0,0.033192239,0.067180384,0.129726227,0.055206699,0,0.030826316
Germany,0,0,0,0,0,0.033192239,0.067180384,0.129726227,0.055206699,0,0.030826316
Rachel B Valdez,0,0,0,0,0,0.033192239,0.067180384,0.129726227,0.055206699,0,0.030826316
United Kingdom,0,0,0,0,0,0.033100724,0.065816621,0.127803643,0.053465514,0,0.030626682
United Kingdom,0,0,0,0,0,0.033100724,0.065816621,0.127803643,0.053465514,0,0.030626682
Jae B Pak,0,0,0,0,0,0.033100724,0.065816621,0.127803643,0.053465514,0,0.030626682
North America,0,0,0,0,0,0.033539021,0.065200514,0.12851205,0.054988958,0,0.030586909
Canada,0,0,0,0,0,0.033310636,0.064976661,0.130371537,0.055915008,0,0.030745022
Canada,0,0,0,0,0,0.033310636,0.064976661,0.130371537,0.055915008,0,0.030745022
Garrett R Vargas,0,0,0,0,0,0.03316524,0.063865921,0.129820048,0.056071124,0,0.030645096
José Edvaldo Saraiva,0,0,0,0,0,0.033453886,0.066097244,0.130930357,0.055757029,0,0.030844899
United States,0,0,0,0,0,0.033609186,0.065269866,0.127949098,0.054703521,0,0.030538399
Central,0,0,0,0,0,0.033710205,0.064408117,0.129406592,0.050711297,0,0.030437522
Jillian  Carson,0,0,0,0,0,0.033710205,0.064408117,0.129406592,0.050711297,0,0.030437522
Northeast,0,0,0,0,0,0.033082302,0.065252317,0.130441329,0.055502845,0,0.030916488
Michael G Blythe,0,0,0,0,0,0.033082302,0.065252317,0.130441329,0.055502845,0,0.030916488
Northwest,0,0,0,0,0,0.033865505,0.065275319,0.128287416,0.055460762,0,0.030544316
David R Campbell,0,0,0,0,0,0.034641596,0.064618711,0.129629608,0.055429832,0,0.030650559
Pamela O Ansman-Wolfe,0,0,0,0,0,0.033436778,0.06426198,0.126383163,0.054779138,0,0.030143446
Tete A Mensa-Annan,0,0,0,0,0,0.033529356,0.06695726,0.128879257,0.056176177,0,0.030839299
Southeast,0,0,0,0,0,0.034310724,0.065170766,0.130258983,0.053850815,0,0.030871581
Tsvi Michael Reiter,0,0,0,0,0,0.034310724,0.065170766,0.130258983,0.053850815,0,0.030871581
Southwest,0,0,0,0,0,0.033202676,0.065512309,0.12597688,0.054968602,0,0.030368004
Linda C Mitchell,0,0,0,0,0,0.033068307,0.066022116,0.127019886,0.0554651,0,0.030620286
Shu K Ito,0,0,0,0,0,0.033338518,0.064997359,0.124935275,0.054476041,0,0.030115994
Pacific,0,0,0,0,0,0.03499111,0.064266813,0.124182273,0.053623028,0,0.030263252
Australia,0,0,0,0,0,0.03499111,0.064266813,0.124182273,0.053623028,0,0.030263252
Australia,0,0,0,0,0,0.03499111,0.064266813,0.124182273,0.053623028,0,0.030263252
Lynn N Tsoflias,0,0,0,0,0,0.03499111,0.064266813,0.124182273,0.053623028,0,0.030263252
Grand Total,0,0,0,0,0,0.033580254,0.06526915,0.128440703,0.054925207,0,0.030586581
,,,,,,,,,,,
,,,,,,,,,,,
Table 4: Avg Product Costs,Column Labels,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
Europe,1511.70673,1522.069764,1521.635073,1523.838217,1518.698507,1520.816167,1519.634457,1519.710782,1508.65709,1518.987897,1519.109501
France,1520.298291,1535.941337,1513.676934,1527.904661,1518.645252,1531.87737,1511.982671,1522.263085,1499.007911,1496.742407,1519.229074
France,1520.298291,1535.941337,1513.676934,1527.904661,1518.645252,1531.87737,1511.982671,1522.263085,1499.007911,1496.742407,1519.229074
Ranjit R Varkey Chudukatil,1520.298291,1535.941337,1513.676934,1527.904661,1518.645252,1531.87737,1511.982671,1522.263085,1499.007911,1496.742407,1519.229074
Germany,1496.982305,1506.614266,1526.095111,1523.784857,1521.307123,1523.654777,1519.107078,1519.755447,1509.949497,1541.839412,1519.242548
Germany,1496.982305,1506.614266,1526.095111,1523.784857,1521.307123,1523.654777,1519.107078,1519.755447,1509.949497,1541.839412,1519.242548
Rachel B Valdez,1496.982305,1506.614266,1526.095111,1523.784857,1521.307123,1523.654777,1519.107078,1519.755447,1509.949497,1541.839412,1519.242548
United Kingdom,1517.686396,1523.623718,1525.215789,1519.688406,1516.15397,1507.119129,1527.78981,1517.143447,1516.879749,1518.0918,1518.856093
United Kingdom,1517.686396,1523.623718,1525.215789,1519.688406,1516.15397,1507.119129,1527.78981,1517.143447,1516.879749,1518.0918,1518.856093
Jae B Pak,1517.686396,1523.623718,1525.215789,1519.688406,1516.15397,1507.119129,1527.78981,1517.143447,1516.879749,1518.0918,1518.856093
North America,1521.636641,1519.299659,1520.489279,1516.70757,1520.551446,1521.050598,1519.984508,1523.686898,1518.761879,1519.497424,1520.166082
Canada,1517.530295,1516.443605,1518.273357,1511.880438,1516.792081,1520.850258,1522.807938,1519.544589,1526.849468,1514.463967,1519.101003
Canada,1517.530295,1516.443605,1518.273357,1511.880438,1516.792081,1520.850258,1522.807938,1519.544589,1526.849468,1514.463967,1519.101003
Garrett R Vargas,1526.031149,1515.473809,1510.424667,1505.967503,1510.815192,1517.138932,1519.891875,1521.369,1526.721565,1519.333388,1516.905846
José Edvaldo Saraiva,1509.267056,1517.41493,1526.181725,1517.709848,1522.873077,1524.523391,1525.749737,1517.702213,1526.978971,1509.521067,1521.30131
United States,1522.926232,1520.162872,1521.176333,1518.181716,1521.706845,1521.112123,1519.112299,1524.950553,1516.279656,1521.04671,1520.493293
Central,1524.884599,1523.019333,1522.798585,1508.886209,1515.879498,1524.28205,1528.573294,1545.20727,1513.686558,1511.60857,1522.833884
Jillian  Carson,1524.884599,1523.019333,1522.798585,1508.886209,1515.879498,1524.28205,1528.573294,1545.20727,1513.686558,1511.60857,1522.833884
Northeast,1522.450311,1522.979235,1524.784548,1540.222306,1510.258044,1510.081502,1520.525501,1531.730087,1528.927773,1496.767367,1521.493125
Michael G Blythe,1522.450311,1522.979235,1524.784548,1540.222306,1510.258044,1510.081502,1520.525501,1531.730087,1528.927773,1496.767367,1521.493125
Northwest,1519.369412,1510.717794,1517.078501,1521.772277,1524.075503,1521.399091,1517.284925,1520.336974,1518.918344,1521.65915,1519.165084
David R Campbell,1502.323985,1515.004912,1516.702566,1517.451171,1514.004258,1516.060424,1521.560097,1519.450408,1503.22992,1528.16823,1515.837019
Pamela O Ansman-Wolfe,1529.038209,1505.345636,1512.082568,1528.097596,1532.887143,1524.608755,1511.676683,1514.47878,1528.035999,1515.401182,1519.753259
Tete A Mensa-Annan,1526.878545,1511.624498,1522.468408,1519.786944,1525.090573,1523.490951,1518.59438,1527.102594,1525.645649,1521.388362,1521.895965
Southeast,1535.779176,1533.416338,1517.663282,1517.825064,1522.376376,1528.877548,1511.621253,1520.220678,1523.47897,1517.587517,1522.083899
Tsvi Michael Reiter,1535.779176,1533.416338,1517.663282,1517.825064,1522.376376,1528.877548,1511.621253,1520.220678,1523.47897,1517.587517,1522.083899
Southwest,1522.242324,1524.627211,1525.439797,1512.025054,1522.793833,1519.958209,1520.915037,1524.967795,1509.108672,1528.893924,1520.600919
Linda C Mitchell,1518.749196,1519.854029,1527.87163,1513.176722,1521.129935,1523.779856,1521.858135,1524.070324,1512.902171,1529.678274,1521.226606
Shu K Ito,1525.625369,1529.333735,1522.986618,1510.882956,1524.439242,1516.117138,1519.961998,1525.868267,1505.356882,1528.088224,1519.97585
Pacific,1533.766599,1518.105429,1534.0828,1513.266789,1514.206132,1520.008158,1524.948415,1529.224993,1521.502546,1529.014095,1523.047191
Australia,1533.766599,1518.105429,1534.0828,1513.266789,1514.206132,1520.008158,1524.948415,1529.224993,1521.502546,1529.014095,1523.047191
Australia,1533.766599,1518.105429,1534.0828,1513.266789,1514.206132,1520.008158,1524.948415,1529.224993,1521.502546,1529.014095,1523.047191
Lynn N Tsoflias,1533.766599,1518.105429,1534.0828,1513.266789,1514.206132,1520.008158,1524.948415,1529.224993,1521.502546,1529.014095,1523.047191
Grand Total,1521.000414,1519.553621,1521.097604,1517.345067,1520.129224,1520.988855,1520.118148,1523.459543,1517.788104,1519.780344,1520.155037
,,,,,,,,,,,
,,,,,,,,,,,
Tabe 5: Avg Unit Price,Column Labels,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
Europe,445.7678048,450.912653,448.9968604,448.6626784,448.7849556,434.3132232,422.9291251,402.3070649,425.0403725,448.569571,435.6528112
France,447.1974727,456.6872524,447.2178438,449.4000528,450.2344333,436.5994395,421.3208773,403.2464745,423.2308548,446.3270257,436.3100107
France,447.1974727,456.6872524,447.2178438,449.4000528,450.2344333,436.5994395,421.3208773,403.2464745,423.2308548,446.3270257,436.3100107
Ranjit R Varkey Chudukatil,447.1974727,456.6872524,447.2178438,449.4000528,450.2344333,436.5994395,421.3208773,403.2464745,423.2308548,446.3270257,436.3100107
Germany,443.7869369,446.4097196,450.6634275,448.5135258,449.8897843,435.3198598,422.3625958,401.0402552,422.2501511,451.3340569,435.2080024
Germany,443.7869369,446.4097196,450.6634275,448.5135258,449.8897843,435.3198598,422.3625958,401.0402552,422.2501511,451.3340569,435.2080024
Rachel B Valdez,443.7869369,446.4097196,450.6634275,448.5135258,449.8897843,435.3198598,422.3625958,401.0402552,422.2501511,451.3340569,435.2080024
United Kingdom,446.2896665,449.6274869,449.1017348,448.0523606,446.2120138,431.0625475,425.1051887,402.6279721,429.5504073,448.0243472,435.4404968
United Kingdom,446.2896665,449.6274869,449.1017348,448.0523606,446.2120138,431.0625475,425.1051887,402.6279721,429.5504073,448.0243472,435.4404968
Jae B Pak,446.2896665,449.6274869,449.1017348,448.0523606,446.2120138,431.0625475,425.1051887,402.6279721,429.5504073,448.0243472,435.4404968
North America,448.4725846,448.2228233,448.8664689,448.2919482,448.783649,434.6229054,422.7773747,403.5622212,426.568796,448.5053214,435.7730913
Canada,447.031347,447.9055744,448.9339882,447.6854431,448.5335382,435.0142793,422.688544,401.7307806,427.9799846,447.2515108,435.528386
Canada,447.031347,447.9055744,448.9339882,447.6854431,448.5335382,435.0142793,422.688544,401.7307806,427.9799846,447.2515108,435.528386
Garrett R Vargas,446.9822241,447.9341999,447.1291605,445.5083323,446.4907564,433.9882889,423.1393742,401.2827203,428.0370565,449.6118225,434.9000925
José Edvaldo Saraiva,447.0790967,447.8769039,450.7525391,449.8318005,450.6119016,436.0297114,422.2337348,402.1832532,427.9221986,444.8555821,436.1581537
United States,448.9252032,448.3187085,448.8455344,448.4771672,448.8605178,434.5027133,422.8048161,404.1209216,426.1356774,448.8912411,435.8482691
Central,448.4619656,451.0025065,450.1321046,447.4356226,446.7544918,436.0486837,424.1794203,407.6923966,426.6107871,447.9701329,436.6898044
Jillian  Carson,448.4619656,451.0025065,450.1321046,447.4356226,446.7544918,436.0486837,424.1794203,407.6923966,426.6107871,447.9701329,436.6898044
Northeast,450.3674989,449.6708851,450.0354126,450.8866082,447.1665606,432.6591331,422.2972715,404.5772593,428.7972569,445.346212,435.9578429
Michael G Blythe,450.3674989,449.6708851,450.0354126,450.8866082,447.1665606,432.6591331,422.2972715,404.5772593,428.7972569,445.346212,435.9578429
Northwest,447.948499,445.5609177,447.7217949,449.6126128,449.8965115,434.1314895,421.7002579,403.6127184,426.8659333,448.3967578,435.4491278
David R Campbell,444.9564533,445.6217042,447.6733294,448.2296251,447.8082679,432.3620737,423.9228405,403.7893328,422.7009036,449.1431382,434.688382
Pamela O Ansman-Wolfe,449.8455127,445.7957869,445.9293591,451.8119463,450.8568249,434.8942569,420.0989633,401.1676124,429.0780982,447.7273283,435.4937541
Tete A Mensa-Annan,449.0603739,445.271556,449.5707616,448.8030455,450.97525,435.1236393,421.0640811,405.8978678,428.8604861,448.3172932,436.1631179
Southeast,449.834589,450.9837228,448.1641736,447.3987332,448.1081674,437.2246175,421.9412293,401.1982387,426.0427536,449.8446907,435.8209704
Tsvi Michael Reiter,449.834589,450.9837228,448.1641736,447.3987332,448.1081674,437.2246175,421.9412293,401.1982387,426.0427536,449.8446907,435.8209704
Southwest,449.4814746,449.4506466,449.6772807,447.3533634,448.8773386,434.0465939,424.0346706,404.6417356,424.7155991,450.0828212,436.0514083
Linda C Mitchell,449.9518079,449.2967747,450.7713298,447.3629486,448.5223341,435.6474266,424.0863791,404.5628271,425.2660987,449.5385218,436.3791185
Shu K Ito,449.0259636,449.6023696,448.5736285,447.3438578,449.2283982,432.4376247,423.9824171,404.7209079,424.1711523,450.6419362,435.7240217
Pacific,447.6428477,446.7268331,449.9043063,450.0598938,446.8439198,434.3958855,426.7308292,407.1081034,426.4436182,451.9021945,436.7837337
Australia,447.6428477,446.7268331,449.9043063,450.0598938,446.8439198,434.3958855,426.7308292,407.1081034,426.4436182,451.9021945,436.7837337
Australia,447.6428477,446.7268331,449.9043063,450.0598938,446.8439198,434.3958855,426.7308292,407.1081034,426.4436182,451.9021945,436.7837337
Lynn N Tsoflias,447.6428477,446.7268331,449.9043063,450.0598938,446.8439198,434.3958855,426.7308292,407.1081034,426.4436182,451.9021945,436.7837337
Grand Total,448.1542949,448.4577105,448.9174615,448.3929153,448.7151938,434.5818406,422.9293233,403.5544348,426.4022278,448.6324281,435.795847
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Table 6: Gross Margins in dollars,Column Labels,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
Europe,3123166.435,6000394.883,6265323.516,6430100.543,5839961.336,-9109824.305,-24998212.57,-34820420.06,-12354673.08,3242934.68,-50381248.62
France,1071467.419,2012040.421,2162367.712,2166862.309,1959462.919,-3104018.427,-8103237.549,-11717188.64,-4204980.704,1056207.741,-16701016.8
France,1071467.419,2012040.421,2162367.712,2166862.309,1959462.919,-3104018.427,-8103237.549,-11717188.64,-4204980.704,1056207.741,-16701016.8
Ranjit R Varkey Chudukatil,1071467.419,2012040.421,2162367.712,2166862.309,1959462.919,-3104018.427,-8103237.549,-11717188.64,-4204980.704,1056207.741,-16701016.8
Germany,1017022.643,2000397.813,2122273.897,2159452.888,1933921.3,-3033777.604,-8591223.076,-11592464.74,-4124891.396,1110670.33,-16998617.95
Germany,1017022.643,2000397.813,2122273.897,2159452.888,1933921.3,-3033777.604,-8591223.076,-11592464.74,-4124891.396,1110670.33,-16998617.95
Rachel B Valdez,1017022.643,2000397.813,2122273.897,2159452.888,1933921.3,-3033777.604,-8591223.076,-11592464.74,-4124891.396,1110670.33,-16998617.95
United Kingdom,1034676.373,1987956.649,1980681.907,2103785.347,1946577.117,-2972028.274,-8303751.945,-11510766.68,-4024800.978,1076056.61,-16681613.88
United Kingdom,1034676.373,1987956.649,1980681.907,2103785.347,1946577.117,-2972028.274,-8303751.945,-11510766.68,-4024800.978,1076056.61,-16681613.88
Jae B Pak,1034676.373,1987956.649,1980681.907,2103785.347,1946577.117,-2972028.274,-8303751.945,-11510766.68,-4024800.978,1076056.61,-16681613.88
North America,26093912.68,48239385.11,50782379.81,52253980.54,47404902.71,-73571506.44,-200509787.5,-278993221.6,-101286088,26066429.33,-403519613.4
Canada,6289861.359,11167836.96,12025072.19,12284035.22,11069150.39,-17061774.17,-47237659.11,-65972424.08,-24569116.4,6082880.808,-95922136.84
Canada,6289861.359,11167836.96,12025072.19,12284035.22,11069150.39,-17061774.17,-47237659.11,-65972424.08,-24569116.4,6082880.808,-95922136.84
Garrett R Vargas,3059094.62,5502633.048,5975681.664,6067196.841,5539445.637,-8422623.002,-23189269.68,-33113337.38,-12392266.37,3073344.185,-47900100.45
José Edvaldo Saraiva,3230766.74,5665203.913,6049390.528,6216838.382,5529704.749,-8639151.168,-24048389.43,-32859086.7,-12176850.02,3009536.624,-48022036.39
United States,19804051.33,37071548.15,38757307.62,39969945.32,36335752.33,-56509732.27,-153272128.4,-213020797.5,-76716971.61,19983548.52,-307597476.5
Central,1716919.07,3151606.505,3274829.209,3385913.97,3065437.784,-4926516.305,-12966387.43,-18583327.43,-5796145.783,1630446.513,-26047223.9
Jillian  Carson,1716919.07,3151606.505,3274829.209,3385913.97,3065437.784,-4926516.305,-12966387.43,-18583327.43,-5796145.783,1630446.513,-26047223.9
Northeast,1514220.205,2775722.933,2818902.692,3036703.804,2715003.443,-4099383.996,-11654945.51,-16538674.87,-5850195.943,1537562.773,-23745084.46
Michael G Blythe,1514220.205,2775722.933,2818902.692,3036703.804,2715003.443,-4099383.996,-11654945.51,-16538674.87,-5850195.943,1537562.773,-23745084.46
Northwest,7325588.086,13867554.98,14423945.46,15000440.16,13534566.1,-21269746,-56772843.72,-78469418.12,-29286439.58,7478504.322,-114167848.3
David R Campbell,2480879.785,4654508.274,4772995.072,5012049.106,4453341.486,-7297425.709,-18835996.45,-26108775.81,-9647068.81,2510983.416,-38004509.64
Pamela O Ansman-Wolfe,2472717.465,4622982.742,4825703.236,4973217.459,4559400.585,-6911708.352,-18436415.88,-25950336.06,-9693672.67,2507100.49,-37031010.99
